kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,179,260.0,1.36,77%,160.9,0.89,0.30,0.23,0.12,23%,11%,2/18,26,159,117,53,42,21
yay,OPTC,https://www.vlr.gg/player/881/yay,492,254.6,1.50,73%,159.8,0.93,0.09,0.20,0.08,26%,15%,9/59,30,460,306,42,96,40
Derke,FNC,https://www.vlr.gg/player/5022/derke,319,247.9,1.39,70%,166.2,0.92,0.13,0.17,0.15,34%,21%,5/24,31,292,210,42,53,47
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,107,247.8,1.07,74%,150.5,0.82,0.15,0.23,0.09,25%,13%,2/15,19,88,82,16,25,10
Will,100T,https://www.vlr.gg/player/1411/will,157,245.3,1.16,72%,155.0,0.86,0.19,0.20,0.13,18%,13%,2/16,28,135,116,30,31,21
Laz,ZETA,https://www.vlr.gg/player/999/laz,148,245.0,1.31,71%,156.1,0.86,0.21,0.15,0.09,28%,20%,6/30,25,128,98,31,22,14
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,319,242.5,1.17,73%,159.5,0.81,0.22,0.14,0.15,25%,18%,4/22,27,257,219,69,45,47
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,144,237.4,1.01,67%,151.2,0.78,0.35,0.19,0.19,27%,,0/13,23,112,111,51,27,27
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,174,234.8,0.95,68%,154.2,0.79,0.21,0.15,0.14,20%,,0/9,30,138,146,36,26,24
ardiis,FPX,https://www.vlr.gg/player/98/ardiis,357,234.5,1.08,71%,148.7,0.83,0.21,0.19,0.12,21%,13%,4/32,30,297,275,74,67,43
BuZz,DRX,https://www.vlr.gg/player/804/buzz,416,233.2,1.04,68%,152.3,0.78,0.18,0.22,0.17,26%,15%,5/34,36,324,311,73,90,72
Cryocells,XSET,https://www.vlr.gg/player/4147/cryocells,285,232.2,1.27,71%,143.4,0.87,0.13,0.18,0.13,24%,19%,8/42,29,248,195,36,50,36
Zyppan,FPX,https://www.vlr.gg/player/11/zyppan,357,232.1,1.09,73%,152.9,0.82,0.28,0.17,0.12,27%,9%,3/32,30,294,269,99,61,43
dgzin,FUR,https://www.vlr.gg/player/8873/dgzin,113,224.0,1.10,73%,139.2,0.81,0.13,0.21,0.10,34%,31%,4/13,25,92,84,15,24,11
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,144,223.6,1.08,67%,144.2,0.75,0.40,0.07,0.09,29%,6%,1/16,19,108,100,58,10,13
Dep,ZETA,https://www.vlr.gg/player/424/dep,148,222.4,0.98,66%,134.8,0.76,0.15,0.15,0.07,26%,,0/14,26,113,115,22,22,11
ScreaM,TL,https://www.vlr.gg/player/92/scream,257,222.3,1.11,68%,151.3,0.73,0.21,0.16,0.14,29%,8%,2/26,20,188,169,53,41,36
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,63,221.7,1.06,79%,144.4,0.79,0.38,0.10,0.08,32%,,0/2,22,50,47,24,6,5
Less,LOUD,https://www.vlr.gg/player/8447/less,366,219.9,1.31,71%,142.6,0.81,0.17,0.10,0.10,25%,21%,7/34,27,295,226,63,37,37
zekken,XSET,https://www.vlr.gg/player/4004/zekken,285,219.8,1.01,67%,149.5,0.79,0.21,0.15,0.14,24%,12%,3/26,30,225,223,61,42,41
Jamppi,TL,https://www.vlr.gg/player/9780/jamppi,257,218.7,1.13,72%,143.7,0.77,0.16,0.17,0.12,24%,21%,6/28,29,197,175,41,43,30
